"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 22:08:25 GMT 2021","Sun Aug 15 22:08:29 GMT 2021","3464","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_scroll_in_the_list[chrome]",""
"passed","Sun Aug 15 22:07:13 GMT 2021","Sun Aug 15 22:07:14 GMT 2021","1253","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:07:59 GMT 2021","Sun Aug 15 22:08:12 GMT 2021","12570","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_count_before_delete[chrome]",""
"passed","Sun Aug 15 22:07:56 GMT 2021","Sun Aug 15 22:07:59 GMT 2021","3245","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:07:56 GMT 2021","Sun Aug 15 22:07:56 GMT 2021","101","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:08:31 GMT 2021","Sun Aug 15 22:08:32 GMT 2021","1526","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:06:57 GMT 2021","Sun Aug 15 22:06:57 GMT 2021","217","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:07:10 GMT 2021","Sun Aug 15 22:07:10 GMT 2021","222","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:07:21 GMT 2021","Sun Aug 15 22:07:22 GMT 2021","1500","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:06:58 GMT 2021","Sun Aug 15 22:07:00 GMT 2021","1500","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:08:43 GMT 2021","Sun Aug 15 22:08:43 GMT 2021","139","test_src.Tests.test09_cookie_check","test_TC11","TestCookie","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:06:53 GMT 2021","Sun Aug 15 22:06:54 GMT 2021","1477","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:07:14 GMT 2021","Sun Aug 15 22:07:16 GMT 2021","1141","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_navigate_to_new_article[chrome]",""
"passed","Sun Aug 15 22:07:16 GMT 2021","Sun Aug 15 22:07:19 GMT 2021","3607","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Sun Aug 15 22:07:06 GMT 2021","Sun Aug 15 22:07:10 GMT 2021","4366","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_logout_exist_user[chrome]",""
"passed","Sun Aug 15 22:06:37 GMT 2021","Sun Aug 15 22:06:37 GMT 2021","149","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_check_signup_form[chrome]",""
"passed","Sun Aug 15 22:08:22 GMT 2021","Sun Aug 15 22:08:22 GMT 2021","97","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:07:22 GMT 2021","Sun Aug 15 22:07:23 GMT 2021","103","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:07:12 GMT 2021","Sun Aug 15 22:07:13 GMT 2021","1488","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:06:47 GMT 2021","Sun Aug 15 22:06:48 GMT 2021","1365","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_password[chrome]",""
"passed","Sun Aug 15 22:06:54 GMT 2021","Sun Aug 15 22:06:54 GMT 2021","99","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:07:54 GMT 2021","Sun Aug 15 22:07:56 GMT 2021","1503","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:07:19 GMT 2021","Sun Aug 15 22:07:19 GMT 2021","228","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_new_article[chrome]",""
"passed","Sun Aug 15 22:08:32 GMT 2021","Sun Aug 15 22:08:35 GMT 2021","3263","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:07:52 GMT 2021","Sun Aug 15 22:07:53 GMT 2021","179","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_new_article[chrome]",""
"passed","Sun Aug 15 22:06:54 GMT 2021","Sun Aug 15 22:06:55 GMT 2021","1260","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:07:23 GMT 2021","Sun Aug 15 22:07:24 GMT 2021","1260","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:06:51 GMT 2021","Sun Aug 15 22:06:51 GMT 2021","116","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_navigate_home[chrome]",""
"passed","Sun Aug 15 22:06:44 GMT 2021","Sun Aug 15 22:06:45 GMT 2021","1473","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:08:32 GMT 2021","Sun Aug 15 22:08:32 GMT 2021","99","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:07:13 GMT 2021","Sun Aug 15 22:07:13 GMT 2021","106","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:08:35 GMT 2021","Sun Aug 15 22:08:37 GMT 2021","1580","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_write_list_into_text_file[chrome]",""
"passed","Sun Aug 15 22:08:39 GMT 2021","Sun Aug 15 22:08:43 GMT 2021","4658","test_src.Tests.test09_cookie_check","test_TC11","TestCookie","","","test_homepage_cookie[chrome]",""
"passed","Sun Aug 15 22:06:39 GMT 2021","Sun Aug 15 22:06:42 GMT 2021","3009","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Sun Aug 15 22:07:37 GMT 2021","Sun Aug 15 22:07:52 GMT 2021","15026","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_edit_an_existing_article[chrome]",""
"passed","Sun Aug 15 22:07:01 GMT 2021","Sun Aug 15 22:07:01 GMT 2021","225","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:06:51 GMT 2021","Sun Aug 15 22:06:51 GMT 2021","230","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:07:33 GMT 2021","Sun Aug 15 22:07:37 GMT 2021","4213","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_open_to_edit_an_existing_article[chrome]",""
"passed","Sun Aug 15 22:06:37 GMT 2021","Sun Aug 15 22:06:39 GMT 2021","2402","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_fill_signup_form_valid[chrome]",""
"passed","Sun Aug 15 22:06:50 GMT 2021","Sun Aug 15 22:06:51 GMT 2021","1396","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_existing_email[chrome]",""
"passed","Sun Aug 15 22:06:45 GMT 2021","Sun Aug 15 22:06:45 GMT 2021","144","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_check_signup_form[chrome]",""
"passed","Sun Aug 15 22:07:24 GMT 2021","Sun Aug 15 22:07:33 GMT 2021","9278","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_navigate_to_user_page[chrome]",""
"passed","Sun Aug 15 22:08:29 GMT 2021","Sun Aug 15 22:08:29 GMT 2021","242","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:06:55 GMT 2021","Sun Aug 15 22:06:57 GMT 2021","1141","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_logout_exist_user[chrome]",""
"passed","Sun Aug 15 22:06:42 GMT 2021","Sun Aug 15 22:06:42 GMT 2021","219","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_logout_successful[chrome]",""
"passed","Sun Aug 15 22:08:22 GMT 2021","Sun Aug 15 22:08:25 GMT 2021","3254","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:08:19 GMT 2021","Sun Aug 15 22:08:19 GMT 2021","229","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:06:48 GMT 2021","Sun Aug 15 22:06:50 GMT 2021","1375","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
"passed","Sun Aug 15 22:07:00 GMT 2021","Sun Aug 15 22:07:01 GMT 2021","1527","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_login_not_exist_user[chrome]",""
"passed","Sun Aug 15 22:08:16 GMT 2021","Sun Aug 15 22:08:19 GMT 2021","3370","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_edit_an_existing_article[chrome]",""
"passed","Sun Aug 15 22:07:00 GMT 2021","Sun Aug 15 22:07:00 GMT 2021","100","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:08:12 GMT 2021","Sun Aug 15 22:08:16 GMT 2021","4174","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_delete_an_existing_article[chrome]",""
"passed","Sun Aug 15 22:07:19 GMT 2021","Sun Aug 15 22:07:20 GMT 2021","216","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:07:53 GMT 2021","Sun Aug 15 22:07:53 GMT 2021","232","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:07:03 GMT 2021","Sun Aug 15 22:07:04 GMT 2021","1495","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:06:34 GMT 2021","Sun Aug 15 22:06:37 GMT 2021","2701","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:06:45 GMT 2021","Sun Aug 15 22:06:47 GMT 2021","1443","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_email[chrome]",""
"passed","Sun Aug 15 22:07:04 GMT 2021","Sun Aug 15 22:07:04 GMT 2021","99","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:08:37 GMT 2021","Sun Aug 15 22:08:37 GMT 2021","215","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:08:21 GMT 2021","Sun Aug 15 22:08:22 GMT 2021","1489","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:07:04 GMT 2021","Sun Aug 15 22:07:06 GMT 2021","1253","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
